StringID   Type       x          y          demand     ReadyTime    DueDate      ServiceTime 
D0         d          40.0       50.0       0.0        0.0          3390.0       0.0         
S0         f          40.0       50.0       0.0        0.0          3390.0       0.0         
S1         f          73.0       52.0       0.0        0.0          3390.0       0.0         
S2         f          90.0       55.0       0.0        0.0          3390.0       0.0         
S3         f          55.0       79.0       0.0        0.0          3390.0       0.0         
S4         f          69.0       89.0       0.0        0.0          3390.0       0.0         
S5         f          32.0       80.0       0.0        0.0          3390.0       0.0         
S6         f          39.0       96.0       0.0        0.0          3390.0       0.0         
S7         f          23.0       80.0       0.0        0.0          3390.0       0.0         
S8         f          4.0        83.0       0.0        0.0          3390.0       0.0         
S9         f          18.0       58.0       0.0        0.0          3390.0       0.0         
S10        f          1.0        56.0       0.0        0.0          3390.0       0.0         
S11        f          13.0       31.0       0.0        0.0          3390.0       0.0         
S12        f          -5.0       38.0       0.0        0.0          3390.0       0.0         
S13        f          26.0       37.0       0.0        0.0          3390.0       0.0         
S14        f          28.0       13.0       0.0        0.0          3390.0       0.0         
S15        f          39.0       31.0       0.0        0.0          3390.0       0.0         
S16        f          48.0       11.0       0.0        0.0          3390.0       0.0         
S17        f          59.0       17.0       0.0        0.0          3390.0       0.0         
S18        f          73.0       23.0       0.0        0.0          3390.0       0.0         
S19        f          74.0       32.0       0.0        0.0          3390.0       0.0         
S20        f          90.0       44.0       0.0        0.0          3390.0       0.0         
C1         c2         52.0       75.0       10.0       906.0        1226.0       90.0        
C2         c2         45.0       70.0       30.0       1004.0       1324.0       90.0        
C3         c1         62.0       69.0       10.0       50.0         370.0        90.0        
C4         c1         60.0       66.0       10.0       26.0         346.0        90.0        
C5         c1         42.0       65.0       10.0       1192.0       1512.0       90.0        
C6         c2         16.0       42.0       20.0       2464.0       2784.0       90.0        
C7         c2         58.0       70.0       20.0       144.0        464.0        90.0        
C8         c2         34.0       60.0       20.0       12.0         332.0        90.0        
C9         c2         28.0       70.0       10.0       138.0        458.0        90.0        
C10        c1         35.0       66.0       10.0       17.0         337.0        90.0        
C11        c1         35.0       69.0       10.0       41.0         361.0        90.0        
C12        c1         25.0       85.0       20.0       428.0        748.0        90.0        
C13        c2         22.0       75.0       30.0       236.0        556.0        90.0        
C14        c1         22.0       85.0       10.0       521.0        841.0        90.0        
C15        c2         20.0       80.0       40.0       331.0        651.0        90.0        
C16        c1         20.0       85.0       40.0       613.0        933.0        90.0        
C17        c1         18.0       75.0       20.0       898.0        1218.0       90.0        
C18        c1         15.0       75.0       20.0       805.0        1125.0       90.0        
C19        c2         15.0       80.0       10.0       710.0        1030.0       90.0        
C20        c1         30.0       50.0       10.0       2940.0       3260.0       90.0        
C21        c2         30.0       56.0       20.0       2968.0       3288.0       90.0        
C22        c1         28.0       52.0       20.0       2967.0       3287.0       90.0        
C23        c2         14.0       66.0       10.0       1096.0       1416.0       90.0        
C24        c1         25.0       50.0       10.0       2845.0       3165.0       90.0        
C25        c2         22.0       66.0       40.0       998.0        1318.0       90.0        
C26        c2         8.0        62.0       10.0       1194.0       1514.0       90.0        
C27        c1         23.0       52.0       10.0       2752.0       3072.0       90.0        
C28        c2         4.0        55.0       20.0       1513.0       1833.0       90.0        
