StringID   Type       x          y          demand     ReadyTime    DueDate      ServiceTime 
D0         d          35.0       35.0       0.0        0.0          230.0        0.0         
S0         f          35.0       35.0       0.0        0.0          230.0        0.0         
S1         f          61.0       37.0       0.0        0.0          230.0        0.0         
S2         f          74.0       39.0       0.0        0.0          230.0        0.0         
S3         f          47.0       57.0       0.0        0.0          230.0        0.0         
S4         f          57.0       65.0       0.0        0.0          230.0        0.0         
S5         f          29.0       59.0       0.0        0.0          230.0        0.0         
S6         f          34.0       71.0       0.0        0.0          230.0        0.0         
S7         f          22.0       58.0       0.0        0.0          230.0        0.0         
S8         f          7.0        61.0       0.0        0.0          230.0        0.0         
S9         f          18.0       41.0       0.0        0.0          230.0        0.0         
S10        f          5.0        39.0       0.0        0.0          230.0        0.0         
S11        f          14.0       20.0       0.0        0.0          230.0        0.0         
S12        f          0.0        26.0       0.0        0.0          230.0        0.0         
S13        f          24.0       25.0       0.0        0.0          230.0        0.0         
S14        f          26.0       6.0        0.0        0.0          230.0        0.0         
S15        f          34.0       20.0       0.0        0.0          230.0        0.0         
S16        f          41.0       5.0        0.0        0.0          230.0        0.0         
S17        f          50.0       9.0        0.0        0.0          230.0        0.0         
S18        f          61.0       14.0       0.0        0.0          230.0        0.0         
S19        f          62.0       21.0       0.0        0.0          230.0        0.0         
S20        f          74.0       30.0       0.0        0.0          230.0        0.0         
C1         c1         41.0       49.0       10.0       26.0         56.0         10.0        
C2         c2         35.0       17.0       7.0        0.0          202.0        10.0        
C3         c1         55.0       45.0       13.0       0.0          197.0        10.0        
C4         c2         55.0       20.0       19.0       97.0         127.0        10.0        
C5         c1         15.0       30.0       26.0       0.0          199.0        10.0        
C6         c1         25.0       30.0       3.0        0.0          208.0        10.0        
C7         c2         20.0       50.0       5.0        78.0         108.0        10.0        
C8         c2         10.0       43.0       9.0        0.0          193.0        10.0        
C9         c2         55.0       60.0       16.0       0.0          187.0        10.0        
C10        c2         30.0       60.0       16.0       0.0          194.0        10.0        
C11        c2         20.0       65.0       12.0       0.0          186.0        10.0        
C12        c2         50.0       35.0       19.0       167.0        197.0        10.0        
C13        c1         30.0       25.0       23.0       0.0          208.0        10.0        
C14        c2         15.0       10.0       20.0       0.0          187.0        10.0        
C15        c2         30.0       5.0        8.0        0.0          189.0        10.0        
C16        c1         10.0       20.0       19.0       61.0         91.0         10.0        
C17        c2         5.0        30.0       2.0        0.0          189.0        10.0        
C18        c2         20.0       40.0       12.0       0.0          204.0        10.0        
C19        c2         15.0       60.0       17.0       0.0          187.0        10.0        
C20        c2         45.0       65.0       9.0        32.0         62.0         10.0        
C21        c1         45.0       20.0       11.0       0.0          201.0        10.0        
C22        c1         45.0       10.0       18.0       0.0          193.0        10.0        
C23        c2         55.0       5.0        29.0       0.0          183.0        10.0        
C24        c2         65.0       35.0       3.0        0.0          190.0        10.0        
